-1,47,24,84,65,1,39,71,57,63,36,24,99,26,94,84,44,94,72,72,79,35,50,71,69,51,95,62,92,78,71,48,42,91,63,71,64,47,13,52
47,-1,26,64,3,49,22,47,80,13,86,12,32,15,57,64,46,23,9,81,82,31,21,6,93,80,58,81,38,44,25,5,71,92,18,22,38,67,47,38
24,26,-1,64,19,65,92,59,7,37,5,47,55,54,23,52,12,83,24,75,53,35,10,75,92,87,42,39,67,46,87,28,21,1,13,15,93,37,79,24
84,64,64,-1,7,26,59,34,35,38,54,8,32,29,4,35,55,61,82,95,67,43,67,72,34,50,46,4,35,83,2,83,14,36,52,17,37,24,8,98
65,3,19,7,-1,54,57,93,17,88,88,50,33,31,50,56,36,40,77,10,49,21,29,41,47,95,45,25,48,48,93,16,50,17,6,82,51,20,83,9
1,49,65,26,54,-1,44,65,76,51,43,84,66,13,7,96,59,74,32,48,51,88,14,91,6,71,79,18,31,24,81,40,59,79,79,26,20,56,61,25
39,22,92,59,57,44,-1,49,6,57,68,54,52,23,24,9,8,56,3,78,6,37,20,81,91,85,61,77,6,9,32,59,39,65,74,27,29,52,71,47
71,47,59,34,93,65,49,-1,77,97,41,84,49,16,52,57,61,78,80,51,42,64,55,3,50,39,45,94,52,34,9,29,96,83,54,92,90,38,15,9
57,80,7,35,17,76,6,77,-1,26,26,86,56,54,6,72,94,3,16,98,2,32,82,97,96,42,3,52,55,46,20,41,8,66,58,4,14,16,13,16
63,13,37,38,88,51,57,97,26,-1,11,18,64,54,84,53,7,29,38,22,33,31,54,29,59,48,32,54,52,15,26,83,70,79,26,5,87,53,31,97
36,86,5,54,88,43,68,41,26,11,-1,52,23,60,29,79,39,34,74,90,85,70,47,91,54,90,2,51,2,77,29,91,2,79,37,6,6,41,90,56
24,12,47,8,50,84,54,84,86,18,52,-1,38,81,91,1,87,40,11,26,45,85,8,30,95,28,6,25,70,40,73,64,44,5,7,58,93,10,20,67
99,32,55,32,33,66,52,49,56,64,23,38,-1,17,86,39,35,55,12,26,13,43,76,29,66,89,20,83,4,84,18,9,34,90,7,33,19,3,15,98
26,15,54,29,31,13,23,16,54,54,60,81,17,-1,74,55,17,84,82,52,72,3,11,40,26,40,95,26,70,61,87,34,56,29,75,28,83,52,17,70
94,57,23,4,50,7,24,52,6,84,29,91,86,74,-1,21,55,22,45,96,3,54,77,69,12,23,87,45,14,11,98,70,56,88,38,12,36,61,22,62
84,64,52,35,56,96,9,57,72,53,79,1,39,55,21,-1,36,96,66,33,9,86,38,37,33,83,76,3,7,58,62,4,11,31,25,19,16,74,50,16
44,46,12,55,36,59,8,61,94,7,39,87,35,17,55,36,-1,33,39,32,22,77,93,35,54,50,79,58,50,25,69,24,84,25,56,1,31,62,49,6
94,23,83,61,40,74,56,78,3,29,34,40,55,84,22,96,33,-1,5,82,86,47,69,18,68,97,6,84,43,22,47,66,63,6,11,44,46,54,4,92
72,9,24,82,77,32,3,80,16,38,74,11,12,82,45,66,39,5,-1,25,35,18,86,99,13,15,93,40,62,46,64,31,28,69,55,87,29,95,97,67
72,81,75,95,10,48,78,51,98,22,90,26,26,52,96,33,32,82,25,-1,48,2,59,70,81,90,34,96,73,1,80,92,18,86,77,19,9,66,78,87
79,82,53,67,49,51,6,42,2,33,85,45,13,72,3,9,22,86,35,48,-1,55,74,38,75,93,51,49,40,3,41,56,86,67,89,85,13,2,18,43
35,31,35,43,21,88,37,64,32,31,70,85,43,3,54,86,77,47,18,2,55,-1,74,73,66,17,88,36,58,78,8,87,42,52,87,71,87,13,54,51
50,21,10,67,29,14,20,55,82,54,47,8,76,11,77,38,93,69,86,59,74,74,-1,64,42,92,96,52,77,26,91,13,5,80,73,16,13,47,81,88
71,6,75,72,41,91,81,3,97,29,91,30,29,40,69,37,35,18,99,70,38,73,64,-1,37,16,71,88,57,21,4,42,14,71,50,35,75,17,68,50
69,93,92,34,47,6,91,50,96,59,54,95,66,26,12,33,54,68,13,81,75,66,42,37,-1,58,22,4,10,96,3,34,4,47,86,27,61,84,59,70
51,80,87,50,95,71,85,39,42,48,90,28,89,40,23,83,50,97,15,90,93,17,92,16,58,-1,39,93,84,54,37,3,5,5,28,24,49,64,35,94
95,58,42,46,45,79,61,45,3,32,2,6,20,95,87,76,79,6,93,34,51,88,96,71,22,39,-1,59,62,85,17,69,61,34,96,72,38,94,71,11
62,81,39,4,25,18,77,94,52,54,51,25,83,26,45,3,58,84,40,96,49,36,52,88,4,93,59,-1,22,24,25,59,77,88,48,80,9,59,51,79
92,38,67,35,48,31,6,52,55,52,2,70,4,70,14,7,50,43,62,73,40,58,77,57,10,84,62,22,-1,79,75,79,13,95,88,82,93,5,19,14
78,44,46,83,48,24,9,34,46,15,77,40,84,61,11,58,25,22,46,1,3,78,26,21,96,54,85,24,79,-1,61,96,54,65,41,99,49,37,72,34
71,25,87,2,93,81,32,9,20,26,29,73,18,87,98,62,69,47,64,80,41,8,91,4,3,37,17,25,75,61,-1,56,47,2,43,89,95,51,90,63
48,5,28,83,16,40,59,29,41,83,91,64,9,34,70,4,24,66,31,92,56,87,13,42,34,3,69,59,79,96,56,-1,34,26,99,2,59,72,42,53
42,71,21,14,50,59,39,96,8,70,2,44,34,56,56,11,84,63,28,18,86,42,5,14,4,5,61,77,13,54,47,34,-1,63,80,82,64,62,99,24
91,92,1,36,17,79,65,83,66,79,79,5,90,29,88,31,25,6,69,86,67,52,80,71,47,5,34,88,95,65,2,26,63,-1,42,70,71,84,1,61
63,18,13,52,6,79,74,54,58,26,37,7,7,75,38,25,56,11,55,77,89,87,73,50,86,28,96,48,88,41,43,99,80,42,-1,44,29,51,48,99
71,22,15,17,82,26,27,92,4,5,6,58,33,28,12,19,1,44,87,19,85,71,16,35,27,24,72,80,82,99,89,2,82,70,44,-1,43,18,80,69
64,38,93,37,51,20,29,90,14,87,6,93,19,83,36,16,31,46,29,9,13,87,13,75,61,49,38,9,93,49,95,59,64,71,29,43,-1,99,52,34
47,67,37,24,20,56,52,38,16,53,41,10,3,52,61,74,62,54,95,66,2,13,47,17,84,64,94,59,5,37,51,72,62,84,51,18,99,-1,73,47
13,47,79,8,83,61,71,15,13,31,90,20,15,17,22,50,49,4,97,78,18,54,81,68,59,35,71,51,19,72,90,42,99,1,48,80,52,73,-1,95
52,38,24,98,9,25,47,9,16,97,56,67,98,70,62,16,6,92,67,87,43,51,88,50,70,94,11,79,14,34,63,53,24,61,99,69,34,47,95,-1

nodes: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39
type: benefit
name: random
weight: 0.8
