-1,92,11,51,75,64,3,3,45,56,56,9,80,85,36,81,35,43,47,93,25,77,74,19,29,29,88,69,26,18,61,8,29,90,14,86,22,28,99,88,68,20,66,10,14,37,87,52,93,3,41,5,32,60,43,7,9,76,67,40,34,30,43,16,28,50,52,35,18,42,60,78,83,66,93,11,46,64,68,25,49,66,28,67,68,92,5,61,41,48,3,49,82,80,49,52,99,30,23,46,12,79,27,47,7,91,68,93,74,80,71,76,13,19,23,69,5,99,24,49,95,43,16,23,4,28,23,9,91,92,46,85,93,28,47,94,7,71,12,70,9,91,63,51,93,31,45,48,91,76,19,46,56,39,10,2,53,69,33,76,7,82,1,24,97,94,9,47,65,8,45,28,84,55,11,86,81,77,62,12,52,30,26,96,55,32,32,72,92,13,8,87,43,76,83,16,3,47,48,25
92,-1,19,11,34,22,93,89,40,58,37,88,93,58,27,79,44,94,33,14,67,51,46,80,66,14,19,47,52,68,13,16,88,11,92,88,39,66,70,12,70,66,4,46,82,48,12,72,7,66,52,60,60,57,23,6,63,27,77,51,55,32,80,75,6,58,1,69,97,96,50,57,55,16,3,18,52,49,52,90,60,82,63,84,82,15,75,19,92,94,83,88,66,63,19,16,58,1,33,49,8,92,93,94,80,56,45,91,50,45,88,5,78,39,66,89,79,53,33,74,26,96,59,73,82,27,81,64,88,69,95,33,80,64,61,22,27,64,6,36,26,13,87,59,45,74,15,13,51,2,10,44,35,14,91,59,4,46,33,18,16,20,3,11,2,56,61,89,94,68,60,16,79,75,20,11,43,10,96,87,9,67,16,83,67,1,12,10,65,33,7,18,76,52,21,33,65,76,60,22
11,19,-1,36,22,99,11,4,80,46,57,26,48,10,91,76,17,28,56,82,45,20,14,75,39,99,29,6,84,17,23,92,82,74,20,68,87,28,10,76,13,34,80,23,5,18,84,72,29,3,31,78,93,94,63,66,6,46,30,8,98,90,54,73,39,5,20,81,58,41,85,11,48,27,10,9,95,53,36,54,2,17,34,93,48,23,87,8,98,36,99,92,65,44,18,83,32,49,66,45,98,40,96,87,4,99,28,9,66,42,29,22,9,38,14,47,57,52,59,62,83,13,81,61,4,41,27,31,58,18,25,69,37,84,37,29,64,78,9,74,5,25,49,76,32,92,79,87,36,57,19,29,6,45,91,61,68,47,5,9,91,81,44,81,97,31,86,29,44,44,32,19,90,92,16,73,68,23,44,49,84,27,89,15,83,30,33,11,38,25,5,14,81,21,16,88,20,81,56,39
51,11,36,-1,42,35,90,91,24,48,15,90,42,21,37,89,92,40,33,13,28,10,87,41,66,99,97,98,9,59,48,88,58,44,13,26,33,80,19,78,54,29,62,26,62,58,22,84,42,8,30,86,89,53,70,59,90,35,36,74,1,52,49,82,66,56,50,80,88,43,85,82,35,81,41,20,43,9,67,88,50,63,1,36,81,35,41,14,35,58,1,29,1,78,11,76,5,47,10,40,85,40,72,78,82,37,12,19,54,7,67,58,67,73,70,81,9,49,90,37,52,25,44,54,91,93,37,64,99,41,84,46,51,55,80,56,45,68,57,37,53,68,20,16,9,27,80,51,47,68,24,25,63,48,41,20,70,30,56,82,2,68,56,40,20,29,60,20,87,15,39,28,7,98,21,10,89,76,90,35,43,72,54,5,56,96,90,22,78,47,51,39,43,90,10,77,65,32,3,43
75,34,22,42,-1,68,67,89,60,48,14,13,35,41,63,49,2,93,40,73,41,79,63,21,22,82,4,54,6,81,3,29,23,31,13,27,31,65,4,19,95,90,17,71,20,48,29,44,79,16,28,14,62,91,12,17,54,24,82,97,61,39,90,1,66,6,41,28,21,67,80,53,31,57,13,84,28,8,72,19,10,47,35,59,59,52,62,47,67,70,10,67,94,36,12,86,18,63,28,33,22,93,19,49,70,95,66,20,48,73,4,64,21,19,28,36,54,44,88,52,68,86,23,62,39,93,17,67,26,25,55,24,64,97,1,64,87,13,84,99,18,52,40,99,14,83,83,25,60,15,55,76,75,35,89,70,15,32,86,88,66,70,44,66,11,77,38,79,99,7,43,91,53,76,35,74,43,70,48,80,26,2,26,36,13,71,5,75,99,39,22,2,92,57,51,36,12,43,63,78
64,22,99,35,68,-1,22,49,72,71,31,87,13,31,60,54,90,19,24,8,85,11,14,57,48,94,61,64,16,64,16,90,58,39,78,42,81,55,15,48,56,5,37,63,73,29,41,56,52,14,16,44,9,78,7,86,31,10,61,78,86,8,45,83,38,56,11,80,75,11,1,20,17,49,17,56,82,35,73,53,3,98,58,24,28,61,60,9,7,72,16,43,45,28,15,59,32,34,71,6,88,33,41,29,51,27,75,69,23,62,41,43,30,35,63,21,32,95,13,77,96,61,35,46,32,54,14,40,49,84,50,47,27,20,19,3,93,50,42,62,4,71,4,82,52,59,80,6,40,76,25,20,76,72,64,69,78,95,24,15,93,2,98,52,86,37,9,71,39,2,48,4,75,54,63,11,37,15,18,45,15,22,13,85,59,28,24,37,23,12,56,89,38,54,53,71,64,9,62,42
3,93,11,90,67,22,-1,53,37,85,73,78,68,95,62,39,11,41,40,8,27,49,29,84,48,37,46,66,4,78,66,32,61,77,83,33,15,55,3,48,85,74,50,18,21,58,25,1,53,46,81,21,40,10,49,99,80,30,80,63,28,24,71,96,29,94,31,10,97,87,16,49,42,31,66,46,44,2,15,79,7,46,28,3,58,30,36,54,27,5,74,77,95,58,42,55,92,1,8,3,64,19,43,89,94,59,24,33,64,90,56,21,46,99,8,8,17,91,18,12,76,88,17,84,68,6,75,17,32,88,51,59,37,68,54,48,49,31,56,8,90,4,84,60,68,89,4,60,66,7,21,45,88,13,77,18,7,90,40,20,2,29,54,28,5,94,54,25,28,21,51,21,81,70,69,45,49,39,40,80,10,89,77,88,13,56,79,44,76,21,1,78,15,97,59,41,69,4,52,15
3,89,4,91,89,49,53,-1,3,90,44,76,8,68,65,16,56,19,69,60,10,63,22,33,16,77,21,5,47,49,22,10,49,94,5,40,37,47,29,44,75,14,87,73,97,37,54,21,48,94,4,10,13,51,11,12,86,88,76,36,89,31,7,7,46,56,91,94,61,21,68,93,43,65,57,99,97,36,50,66,11,16,28,92,18,13,61,49,66,79,53,73,72,74,5,57,67,91,62,45,55,82,63,14,67,18,28,62,55,35,77,88,95,97,80,2,79,65,24,41,8,34,66,27,43,81,42,43,21,14,72,96,66,80,52,37,70,29,24,98,41,2,12,44,84,61,85,43,21,36,59,1,84,57,35,8,97,97,45,99,4,53,80,17,93,78,90,17,31,63,75,13,28,33,23,75,47,23,86,22,94,2,89,30,50,7,92,7,51,49,76,97,80,76,60,97,46,99,15,36
45,40,80,24,60,72,37,3,-1,18,1,86,35,98,46,10,94,62,3,52,74,79,76,70,33,23,18,51,29,30,30,2,29,90,48,83,97,36,26,43,79,92,85,22,78,92,99,46,17,51,36,32,14,13,71,2,62,39,18,97,47,33,79,65,7,63,10,66,20,92,58,30,25,16,83,99,17,88,98,52,69,39,44,53,97,99,42,55,76,89,94,23,10,42,81,81,91,89,43,40,97,62,86,80,68,36,90,16,24,89,31,67,61,60,27,10,75,81,42,72,7,51,38,86,83,34,75,6,8,77,64,89,96,34,18,8,87,24,97,43,43,19,37,21,34,46,63,61,94,45,30,95,37,20,57,84,53,85,32,80,87,47,56,1,58,61,86,83,59,48,37,61,2,52,67,10,12,95,49,23,73,67,75,2,35,37,39,82,6,47,41,83,87,76,65,92,70,27,40,76
56,58,46,48,48,71,85,90,18,-1,22,85,6,22,83,81,41,98,98,34,43,39,81,86,77,53,70,4,39,61,39,37,17,89,71,12,69,4,93,62,20,98,23,19,56,77,79,8,57,23,56,90,89,93,6,86,35,13,25,92,14,26,70,74,27,78,44,90,16,93,96,94,2,84,4,86,75,86,39,30,86,30,6,49,10,10,21,30,40,97,76,21,52,2,31,19,66,69,96,22,6,79,81,3,85,75,90,12,90,25,4,74,37,26,62,75,32,70,90,60,17,92,96,97,87,18,76,48,82,72,34,98,70,46,63,8,46,64,10,69,80,23,14,70,69,24,55,77,14,41,48,91,77,21,49,27,7,84,1,6,93,58,53,18,95,27,73,92,42,57,4,64,47,47,80,4,91,54,67,76,99,95,66,76,20,95,83,68,73,4,6,80,52,1,7,38,69,30,79,24
