-1,27,71,19,63,54,6,23,1,1,51,3,1,15,44,73,30,23,43,38,11,57,36,34,94,50,68,42,78,49
27,-1,45,35,25,91,26,14,93,51,64,98,79,63,46,42,30,71,9,27,68,48,7,53,12,38,80,42,6,29
71,45,-1,49,28,6,81,14,31,81,99,94,42,58,6,94,5,78,47,81,96,30,86,2,13,33,90,83,50,43
19,35,49,-1,55,19,21,34,99,22,99,14,91,84,65,40,62,87,76,15,31,79,33,2,35,42,6,24,44,66
63,25,28,55,-1,75,79,83,88,57,40,90,60,69,45,71,4,61,82,52,45,54,47,29,63,36,5,92,36,64
54,91,6,19,75,-1,5,18,25,68,38,40,78,31,29,82,60,41,68,30,17,62,74,50,62,46,11,84,44,45
6,26,81,21,79,5,-1,97,57,22,86,66,73,67,39,97,13,44,97,92,41,14,38,86,39,30,49,16,41,84
23,14,14,34,83,18,97,-1,7,34,74,49,48,15,98,72,45,36,54,94,83,91,47,2,60,21,39,75,5,93
1,93,31,99,88,25,57,7,-1,56,10,33,6,44,22,14,26,18,47,15,60,20,39,99,73,72,54,56,57,93
1,51,81,22,57,68,22,34,56,-1,16,88,24,94,18,15,77,15,63,21,1,7,62,66,1,86,38,52,12,91
51,64,99,99,40,38,86,74,10,16,-1,40,44,81,3,28,69,78,23,82,80,18,62,91,92,94,84,97,19,58
3,98,94,14,90,40,66,49,33,88,40,-1,33,67,37,98,94,32,57,93,76,89,55,44,25,40,22,69,32,37
1,79,42,91,60,78,73,48,6,24,44,33,-1,34,28,17,58,66,24,19,45,69,18,84,71,44,56,76,67,94
15,63,58,84,69,31,67,15,44,94,81,67,34,-1,4,5,19,30,48,69,60,42,32,40,88,96,13,35,33,92
44,46,6,65,45,29,39,98,22,18,3,37,28,4,-1,11,42,39,37,11,97,83,16,86,17,30,66,48,1,3
73,42,94,40,71,82,97,72,14,15,28,98,17,5,11,-1,68,56,90,40,26,53,89,68,16,3,75,36,95,23
30,30,5,62,4,60,13,45,26,77,69,94,58,19,42,68,-1,72,2,51,18,54,7,95,33,96,61,77,80,13
23,71,78,87,61,41,44,36,18,15,78,32,66,30,39,56,72,-1,17,89,13,27,10,33,51,46,36,65,11,33
43,9,47,76,82,68,97,54,47,63,23,57,24,48,37,90,2,17,-1,32,30,29,95,25,20,2,74,83,37,15
38,27,81,15,52,30,92,94,15,21,82,93,19,69,11,40,51,89,32,-1,89,43,98,26,74,51,12,56,79,34
11,68,96,31,45,17,41,83,60,1,80,76,45,60,97,26,18,13,30,89,-1,2,70,50,9,95,52,37,58,25
57,48,30,79,54,62,14,91,20,7,18,89,69,42,83,53,54,27,29,43,2,-1,34,12,6,1,8,7,13,35
36,7,86,33,47,74,38,47,39,62,62,55,18,32,16,89,7,10,95,98,70,34,-1,36,14,46,47,90,65,37
34,53,2,2,29,50,86,2,99,66,91,44,84,40,86,68,95,33,25,26,50,12,36,-1,69,83,58,35,88,24
94,12,13,35,63,62,39,60,73,1,92,25,71,88,17,16,33,51,20,74,9,6,14,69,-1,93,31,33,54,51
50,38,33,42,36,46,30,21,72,86,94,40,44,96,30,3,96,46,2,51,95,1,46,83,93,-1,7,25,97,38
68,80,90,6,5,11,49,39,54,38,84,22,56,13,66,75,61,36,74,12,52,8,47,58,31,7,-1,24,61,44
42,42,83,24,92,84,16,75,56,52,97,69,76,35,48,36,77,65,83,56,37,7,90,35,33,25,24,-1,67,89
78,6,50,44,36,44,41,5,57,12,19,32,67,33,1,95,80,11,37,79,58,13,65,88,54,97,61,67,-1,12
49,29,43,66,64,45,84,93,93,91,58,37,94,92,3,23,13,33,15,34,25,35,37,24,51,38,44,89,12,-1

nodes: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29
type: benefit
name: random
weight: 0.8
