-1,98,78,79,17,18,30,26,26,2,78,30,23,24,19,10,52,85,94,22,38,36,3,66,73,70,32,4,32,58,53,18,14,30,33,71,87,69,61,32,79,53,20,48,84,77,1,81,39,66,39,32,33,85,79,59,86,88,37,84,19,61,57,8,30,49,50,33,14,13,49,59,3,38,96,26,19,78,7,19,19,29,50,81,98,88,81,13,90,89,32,36,63,75,30,14,70,24,6,33
98,-1,61,64,62,55,16,93,22,83,90,38,26,33,61,8,39,99,95,78,60,77,90,52,20,18,87,21,59,29,67,50,56,80,87,78,61,4,58,79,45,67,54,64,94,60,23,76,8,37,57,38,86,22,30,38,97,28,54,37,56,55,42,87,55,5,90,48,24,60,84,45,83,72,62,98,44,95,51,22,86,52,14,48,47,22,93,17,71,9,79,52,20,47,24,31,84,62,67,60
78,61,-1,53,46,59,32,25,82,71,55,44,19,49,81,56,97,50,10,2,34,43,96,53,19,84,70,76,17,9,20,75,59,13,94,64,16,30,70,1,98,18,36,3,92,63,11,69,3,7,35,34,12,64,3,84,79,36,28,80,38,81,66,13,70,34,58,80,7,91,91,75,70,87,98,81,18,96,64,80,54,73,6,72,62,77,65,15,48,22,25,4,29,10,81,73,33,29,41,57
79,64,53,-1,22,93,73,89,40,57,94,99,37,59,95,65,75,42,63,80,46,87,21,54,58,27,74,2,18,85,85,70,72,76,94,2,60,47,11,75,51,19,10,54,45,75,87,83,95,96,89,72,18,92,8,98,21,89,56,48,48,45,35,73,6,51,55,4,32,58,87,62,57,31,17,44,14,96,83,42,17,88,39,21,91,83,88,16,20,36,20,76,98,12,90,89,15,83,37,73
17,62,46,22,-1,79,32,18,26,2,25,77,38,44,6,89,87,84,68,9,33,20,80,7,49,89,36,15,66,39,16,41,56,49,91,58,65,48,73,62,83,96,23,16,53,99,74,69,27,47,95,93,63,51,66,5,96,65,67,43,83,40,47,27,6,12,63,75,57,64,86,6,94,72,96,88,27,9,39,40,76,56,32,6,4,59,47,2,2,67,21,10,87,60,36,80,87,39,64,55
18,55,59,93,79,-1,75,15,90,99,69,65,17,38,46,28,17,11,14,93,32,67,77,51,2,93,85,60,24,42,36,95,10,89,40,26,68,9,93,80,81,92,92,52,99,76,94,94,68,50,21,8,17,30,87,4,50,70,90,84,90,46,54,9,45,51,56,15,27,93,38,64,35,84,60,19,72,14,60,33,69,95,27,14,2,41,37,4,10,96,22,63,78,18,86,61,68,95,37,82
30,16,32,73,32,75,-1,3,33,80,23,96,13,93,97,31,60,24,84,38,81,81,49,29,90,65,15,1,43,20,78,35,35,78,29,62,50,27,22,76,98,83,93,4,17,18,17,21,89,13,3,98,59,47,76,1,4,83,18,99,73,16,18,89,38,17,66,90,70,3,7,60,22,38,53,98,86,44,46,88,75,18,37,65,78,3,29,76,36,28,6,5,68,21,71,91,17,89,9,42
26,93,25,89,18,15,3,-1,43,23,83,16,5,51,47,39,35,5,74,43,71,93,30,82,69,4,68,90,5,47,54,60,43,94,47,3,92,77,49,47,64,54,90,62,30,43,46,5,10,29,64,20,77,54,48,6,26,82,94,22,30,31,41,53,65,85,15,71,12,49,87,66,12,91,35,45,54,82,19,51,40,80,24,68,1,60,90,79,35,87,59,57,40,52,78,70,66,84,4,3
26,22,82,40,26,90,33,43,-1,19,51,50,22,1,97,41,70,12,53,97,2,57,67,31,14,89,3,84,45,98,78,53,7,62,66,71,96,6,7,94,14,46,20,25,48,80,19,34,52,68,9,6,62,10,57,45,29,71,62,53,2,42,90,77,42,95,48,67,13,25,2,16,86,98,68,38,89,39,22,93,11,7,79,46,72,7,40,86,33,74,35,10,6,29,8,88,97,9,26,13
2,83,71,57,2,99,80,23,19,-1,64,19,52,81,70,73,27,19,56,29,86,67,49,92,64,78,58,27,19,23,17,16,6,50,55,33,34,41,55,78,16,29,62,4,90,44,98,30,39,16,53,29,76,7,26,99,18,16,68,23,13,4,72,74,9,47,64,14,19,29,80,79,24,33,52,90,78,74,85,98,59,11,19,96,10,35,48,94,55,52,41,66,13,24,7,32,55,48,36,90
78,90,55,94,25,69,23,83,51,64,-1,47,11,13,23,98,79,21,18,54,6,57,51,61,23,85,88,65,55,12,19,81,76,75,25,14,69,26,68,52,87,32,72,7,8,25,52,32,93,32,91,19,37,94,51,78,43,75,4,34,44,47,18,9,6,70,53,43,85,26,96,73,96,15,71,36,15,66,99,60,29,84,48,50,19,72,66,63,48,23,7,2,10,36,47,94,10,23,11,30
30,38,44,99,77,65,96,16,50,19,47,-1,13,18,3,5,47,5,72,9,97,80,2,78,33,94,45,55,45,22,14,79,11,19,7,58,93,67,79,39,86,96,82,30,55,25,71,36,93,20,19,21,72,69,26,86,23,10,22,35,60,65,21,89,70,86,16,11,99,31,90,79,71,69,46,69,4,54,94,20,1,76,16,65,10,18,63,19,96,85,5,33,87,85,26,71,17,1,39,10
