-1,50,36,12,62,78,14,29,42,91,98,43,13,88,15,93,81,31,2,97,54,17,21,17,75,20,83,53,79,20,68,53,85,38,9,34,68,8,59,53,55,12,91,64,87,71,12,93,56,93,55,20,55,66,93,89,71,49,54,68
50,-1,12,24,66,58,82,71,85,57,58,72,49,91,86,39,23,83,35,57,42,98,48,36,9,76,85,47,11,83,51,45,46,78,51,41,16,15,82,49,81,7,99,27,19,95,40,63,53,85,92,41,19,86,21,32,84,12,67,48
36,12,-1,1,15,61,41,69,50,89,20,56,29,66,57,74,1,86,80,67,40,43,2,63,89,69,5,71,69,43,5,6,87,92,56,42,56,8,26,31,71,42,32,29,21,49,65,7,1,60,78,17,78,55,10,47,90,97,32,10
12,24,1,-1,55,72,29,23,30,56,6,69,43,84,2,27,38,86,49,80,7,43,63,94,45,94,56,38,45,93,3,73,86,44,16,45,91,69,53,11,56,76,24,54,12,33,16,15,27,68,62,65,9,74,58,9,5,77,78,91
62,66,15,55,-1,41,86,34,23,52,7,25,41,59,26,43,64,87,56,92,17,96,22,23,68,10,47,75,28,41,68,82,23,30,1,15,90,54,91,35,22,13,68,73,4,3,18,48,5,15,81,58,71,75,43,7,36,39,55,61
78,58,61,72,41,-1,76,16,86,85,1,85,82,43,15,60,46,91,79,16,5,35,44,97,23,84,95,70,48,55,31,82,49,72,94,29,81,63,23,62,69,44,88,20,66,25,7,32,29,78,81,81,1,75,57,95,80,51,37,89
14,82,41,29,86,76,-1,20,40,10,62,86,39,56,47,48,72,5,27,57,48,28,60,35,79,28,93,71,68,37,51,65,72,81,87,77,61,70,81,71,38,62,28,46,87,64,56,82,22,60,84,87,7,97,74,47,49,13,13,19
29,71,69,23,34,16,20,-1,77,35,42,48,40,49,86,76,40,98,15,97,49,17,98,28,57,42,64,91,81,89,50,45,7,9,78,87,16,48,1,19,37,59,67,50,34,59,3,88,15,96,79,62,52,61,7,23,51,21,72,86
42,85,50,30,23,86,40,77,-1,36,77,26,14,13,2,44,56,21,70,73,87,84,87,30,20,24,76,48,50,95,36,58,29,25,10,7,30,83,1,52,4,79,98,26,69,47,54,37,8,87,38,58,61,83,59,3,5,20,78,53
91,57,89,56,52,85,10,35,36,-1,83,14,3,18,27,39,86,65,52,87,11,4,32,67,87,52,45,78,29,24,76,74,78,23,24,30,20,20,50,62,55,15,3,45,95,56,85,50,58,57,57,87,81,66,8,57,32,62,54,99
98,58,20,6,7,1,62,42,77,83,-1,27,94,57,84,29,31,4,43,21,98,35,62,33,93,78,6,94,36,37,31,75,74,32,45,29,44,81,7,15,61,59,42,47,47,6,22,21,25,75,74,67,97,78,33,24,82,42,54,69
43,72,56,69,25,85,86,48,26,14,27,-1,83,3,14,75,87,31,21,61,26,48,3,69,81,68,38,53,14,71,77,60,88,11,8,91,67,5,36,7,42,36,27,76,43,10,22,42,59,64,18,5,16,57,14,13,79,47,18,53
13,49,29,43,41,82,39,40,14,3,94,83,-1,40,82,17,48,16,13,70,92,86,3,74,94,26,27,49,94,41,89,93,68,91,24,40,53,72,52,49,94,30,22,64,89,20,78,61,20,14,77,58,24,55,28,62,55,34,33,69
88,91,66,84,59,43,56,49,13,18,57,3,40,-1,59,30,63,49,28,19,64,4,44,63,65,34,17,99,31,67,41,21,41,97,34,11,13,19,64,91,51,41,69,74,42,73,12,97,55,62,31,14,36,66,28,47,35,29,77,64
15,86,57,2,26,15,47,86,2,27,84,14,82,59,-1,51,55,74,30,28,91,96,50,2,88,66,58,80,87,15,29,12,44,84,80,39,75,84,43,53,66,27,47,62,98,62,33,74,89,37,58,76,18,92,87,48,43,93,60,1
93,39,74,27,43,60,48,76,44,39,29,75,17,30,51,-1,8,84,6,72,38,58,5,63,53,59,45,17,34,69,11,80,21,20,2,17,18,28,57,98,84,2,86,5,35,57,23,43,67,37,67,51,46,37,93,94,34,32,66,45
81,23,1,38,64,46,72,40,56,86,31,87,48,63,55,8,-1,6,30,5,5,10,61,15,55,16,30,55,3,71,53,49,37,92,48,74,76,99,37,42,80,68,74,71,13,76,80,46,4,69,9,37,71,49,47,23,21,68,25,41
31,83,86,86,87,91,5,98,21,65,4,31,16,49,74,84,6,-1,4,67,53,56,59,55,60,29,12,96,29,30,47,64,79,19,93,98,22,98,15,44,89,75,90,56,99,92,41,34,24,52,90,74,19,25,26,23,12,50,27,94
2,35,80,49,56,79,27,15,70,52,43,21,13,28,30,6,30,4,-1,74,35,51,76,3,83,1,25,84,8,12,36,24,11,88,78,60,77,17,34,67,85,67,45,43,26,93,61,82,7,29,38,12,60,72,44,68,27,24,53,8
97,57,67,80,92,16,57,97,73,87,21,61,70,19,28,72,5,67,74,-1,2,80,73,49,47,21,78,39,36,37,27,49,46,91,95,16,44,33,34,99,46,59,1,96,20,70,83,63,85,73,96,42,71,90,18,87,82,39,42,53
54,42,40,7,17,5,48,49,87,11,98,26,92,64,91,38,5,53,35,2,-1,8,39,92,21,71,90,17,22,27,57,26,16,93,75,42,39,15,98,88,17,84,25,66,89,72,46,6,68,75,9,29,73,17,94,32,3,38,61,56
